area,type,num_properties,perc_properties_area,num_advertised,sum_lien_amount,median_lien_amount,median_assessed_value,num_vacant,num_vacant_lot,num_owner_occupied,num_owner_occupied_not_vacant,perc_vacant,perc_owner_occupied_not_vacant,perc_vacant_lot,auction_year
Upton,neighborhood,1887,10.86,205,4898838.8,1510,25000,92,19,14,13,44.88,6.34,9.27,2021
Villages Of Homeland,neighborhood,291,2.06,6,12330.78,2601.0299999999997,116450,0,0,5,5,0,83.33,0,2021
Violetville,neighborhood,982,2.44,24,295013.21,2580.1949999999997,106200,1,4,11,11,4.17,45.83,16.67,2021
Wakefield,neighborhood,75,4,3,59656.01,498.95,22900,0,3,0,0,0,0,100,2021
Walbrook,neighborhood,1110,16.04,178,7674297.3,2748.74,27000,63,27,26,26,35.39,14.61,15.17,2021
Waltherson,neighborhood,2573,5.4,139,1871177.04,2266.68,118933,17,14,45,44,12.23,31.65,10.07,2021
Washington Hill,neighborhood,738,9.08,67,277063.95,2108.38,125200,7,18,3,3,10.45,4.48,26.87,2021
Washington Village/Pigtown,neighborhood,2837,8.67,246,3405709.59,2505.455,91000,52,16,40,36,21.14,14.63,6.5,2021
Waverly,neighborhood,1209,9.51,115,1160031.89,2403.84,93667,23,6,27,27,20,23.48,5.22,2021
West Arlington,neighborhood,596,10.74,64,2809887.19,3377.77,155383.5,11,10,21,20,17.19,31.25,15.62,2021
West Forest Park,neighborhood,641,11.39,73,2376442.2,3986.67,111300,5,22,22,22,6.85,30.14,30.14,2021
West Hills,neighborhood,696,5.32,37,85950.19,2539.16,111700,0,0,24,24,0,64.86,0,2021
Westfield,neighborhood,1274,3.92,50,303653.42,2398.565,146100,3,5,17,16,6,32,10,2021
Westgate,neighborhood,680,4.56,31,268441.56,2759.84,127600,1,5,12,12,3.23,38.71,16.13,2021
Westport,neighborhood,615,19.02,117,2158810.04,1370.44,25000,44,11,15,14,37.61,11.97,9.4,2021
Wilhelm Park,neighborhood,248,10.08,25,210577.33000000002,3048.26,78600,4,2,4,4,16,16,8,2021
Wilson Park,neighborhood,361,12.74,46,2301618.32,2485.99,72133,6,13,4,4,13.04,8.7,28.26,2021
Winchester,neighborhood,619,15.67,97,5250974.6,942.48,29000,44,8,11,11,45.36,11.34,8.25,2021
Windsor Hills,neighborhood,619,8.72,54,1150779.18,2823.4,138333.5,6,5,18,18,11.11,33.33,9.26,2021
Winston-Govans,neighborhood,540,10.93,59,565022.71,2227.28,73300,13,6,12,12,22.03,20.34,10.17,2021
Woodberry,neighborhood,744,4.97,37,766989.51,2893.61,121867,1,14,8,8,2.7,21.62,37.84,2021
